,Effectiveness,HP_diff,Attack_diff,Defense_diff,Sp.Atk_diff,Sp.Def_diff,Speed_diff,F_Legendary,S_Legendary,First Won
88,2.0,105,20,-35,55,-35,45,1,0,1
89,1.0,-3,-41,16,24,36,-32,0,0,0
90,0.5,-50,20,-40,-20,-90,-5,0,0,0
91,1.0,-16,-50,-10,-18,2,-5,0,0,0
92,1.0,-8,-11,44,56,21,-66,0,0,0
93,1.0,8,30,12,33,24,25,0,0,1
94,1.0,-65,-35,-15,0,-60,-50,0,1,0
95,0.5,-47,-71,-46,-14,-46,-47,0,1,0
96,1.0,-25,15,25,-30,-55,-45,0,1,0
97,2.0,-31,-45,-36,-12,-36,-31,0,0,0
98,1.0,-10,25,-25,25,-40,15,0,0,1
99,1.0,-5,10,20,57,40,83,0,0,1
100,2.0,-20,-23,10,-23,-20,16,0,0,1
101,1.0,-12,-14,8,-14,11,-55,0,0,0
102,1.0,5,-53,5,12,5,55,0,0,1
103,1.0,-37,-44,-33,-27,-31,-24,0,0,0
104,1.0,-15,-50,-55,-25,-15,0,0,0,0
105,1.0,50,65,-4,-35,11,70,0,0,1
106,1.0,-35,-50,-25,25,-55,40,0,0,1
107,1.0,-30,-45,-10,15,-5,5,0,0,1
108,1.0,-21,12,-17,-35,-10,10,0,0,1
109,1.0,-24,-29,-5,36,33,-1,1,0,0
110,1.0,10,-14,-40,11,-35,9,0,0,1
111,1.0,-17,-20,-25,5,-35,2,0,0,1
112,1.0,30,10,30,-10,-5,-50,0,0,0
113,1.0,25,65,10,30,40,65,0,0,1
114,1.0,21,35,60,95,40,19,1,0,1
115,2.0,65,45,-11,5,55,26,0,0,1
116,0.5,10,-65,-3,5,-55,-42,0,0,0
117,1.0,5,-43,12,-9,17,-47,0,0,0
118,1.0,14,-5,155,5,15,-130,0,0,0
119,1.0,-20,10,0,-60,-20,-30,0,0,0
120,0.5,15,23,-12,20,0,19,0,0,1
121,1.0,30,40,75,-15,-50,-70,0,0,1
122,1.0,-10,10,15,75,10,60,0,0,1
123,2.0,10,20,45,-65,-30,5,0,0,1
124,1.0,-30,30,0,-55,0,11,0,0,1
125,1.0,-56,0,20,-10,15,11,0,0,1
126,1.0,-35,20,-35,-35,-35,-70,0,0,0
127,1.0,-10,-60,20,30,-10,-40,0,0,0
128,0.5,25,10,-15,70,50,20,0,0,1
129,0.5,-32,-29,3,10,10,25,0,0,1
130,1.0,6,0,23,3,-5,5,0,0,1
131,1.0,3,44,23,60,20,5,0,0,1
132,1.0,-25,-20,-10,-10,-20,-70,0,0,0
133,0.0,-15,-7,-63,-57,-73,40,0,0,0
134,0.5,5,45,50,35,45,10,0,0,1
135,0.5,-36,-30,-20,-5,-79,-50,0,1,0
136,1.0,25,30,10,15,0,55,0,0,1
137,2.0,17,-5,13,8,9,-3,0,0,0
138,1.0,12,80,20,-20,-50,-22,0,0,0
139,0.5,10,35,72,55,37,31,0,0,1
140,1.0,33,-7,25,-17,25,-64,0,0,0
141,1.0,10,74,55,39,10,7,0,0,1
142,1.0,-45,0,-20,-28,0,50,0,0,0
143,0.5,-5,-35,-70,-45,-15,-15,0,0,0
144,1.0,-20,15,-14,52,-35,29,0,0,1
145,1.0,77,0,72,25,70,47,0,0,1
146,1.0,-75,25,-70,-35,-80,-10,0,0,0
147,1.0,-23,-10,-5,-125,-105,-50,0,0,0
148,2.0,-30,22,50,-5,15,25,0,0,1
149,1.0,-32,-69,-45,30,15,19,0,0,1
150,2.0,5,20,50,85,0,-35,0,0,1
151,1.0,0,-35,-5,-50,-25,-65,0,0,0
152,1.0,3,4,18,44,-5,-2,0,0,0
153,1.0,0,-5,-20,10,0,-70,0,0,0
154,1.0,5,43,47,78,77,57,0,0,1
155,0.5,-5,40,5,40,-10,10,0,0,1
156,2.0,-15,-47,-13,-12,22,-3,0,0,0
157,1.0,-11,-41,35,-119,-35,-84,0,1,0
158,0.0,0,0,20,50,45,5,0,0,0
159,1.0,-26,-98,-35,-93,-65,-70,0,0,0
160,1.0,21,4,-30,16,-15,9,0,0,1
161,1.0,45,20,-22,55,40,25,0,0,1
162,1.0,44,15,30,15,50,-110,0,0,1
163,0.5,0,-30,20,20,120,-30,1,0,0
164,1.0,-27,3,-23,-34,-29,29,0,0,1
165,2.0,-10,-50,-20,35,-10,-30,0,0,0
166,2.0,20,36,-30,-9,-20,94,0,0,1
167,2.0,-10,-40,-61,-42,-38,-20,0,0,0
168,2.0,20,20,36,40,26,0,1,0,0
169,1.0,100,36,70,55,70,49,1,0,1
170,1.0,30,35,10,-50,10,-75,0,0,0
171,1.0,7,30,13,-45,30,0,0,0,0
172,1.0,-35,-110,-30,-110,-30,-45,0,1,0
173,1.0,12,18,-5,26,15,19,0,0,1
174,1.0,55,-5,-40,-90,-25,-105,0,1,1
175,2.0,10,34,20,-30,15,-29,0,1,0
176,1.0,15,-30,-21,35,9,35,0,0,1
177,1.0,15,24,46,91,34,40,1,0,1
178,1.0,5,-70,-72,-38,-25,-44,0,0,0
179,1.0,-18,9,-1,-14,51,-86,0,0,0
180,1.0,-70,-50,-40,-45,0,5,0,0,1
181,1.0,5,40,26,10,36,8,0,0,1
182,1.0,-38,-68,-28,-25,-30,-46,0,0,0
183,1.0,-15,30,-15,-25,5,-5,0,0,0
184,1.0,-5,19,-5,-8,-35,1,0,0,1
185,2.0,28,19,-1,50,26,23,0,0,1
186,1.0,34,80,10,25,40,45,0,0,1
187,1.0,35,100,80,-5,-55,-5,0,0,0
188,1.0,20,40,-2,-55,-67,-66,0,0,1
189,1.0,32,2,12,-4,-22,-77,0,0,0
190,0.5,-9,6,32,-55,-35,-58,0,0,0
191,1.0,6,-12,18,45,19,19,0,0,1
192,1.0,47,99,67,59,44,50,1,0,1
193,0.0,-85,-10,-55,-39,-59,10,0,1,0
194,0.5,33,-20,-75,-30,-80,51,0,1,1
195,1.0,-10,20,-5,-60,-40,-70,0,0,0
196,1.0,-7,-30,5,60,55,-35,0,0,0
197,0.5,5,-25,5,20,10,50,1,0,1
198,0.5,11,-45,-90,45,26,55,0,0,0
199,1.0,17,69,12,-16,29,85,0,0,1
200,2.0,-38,-56,-35,-23,-12,-54,0,1,0
201,0.5,10,-20,-13,-100,25,-27,0,0,0
202,1.0,11,22,-5,-33,-10,4,0,0,1
203,1.0,30,10,-20,-30,5,-35,0,0,0
204,1.0,-80,-115,25,-35,-20,-70,0,1,0
205,2.0,56,52,60,60,-14,7,0,0,1
206,2.0,25,66,35,-9,-15,-11,0,0,0
207,1.0,-27,-50,8,-45,20,-57,0,0,0
208,1.0,-10,-50,5,25,15,-10,0,0,0
209,1.0,12,-37,0,43,0,67,0,0,1
210,1.0,4,-45,35,-45,35,-4,1,0,0
211,0.5,41,39,36,39,36,43,0,0,1
212,1.0,23,8,43,91,39,15,0,0,1
213,0.5,-15,-35,-45,-150,-75,-85,0,0,0
214,1.0,36,-39,-13,6,42,-32,0,0,0
215,1.0,10,-10,10,55,55,35,0,0,1
216,1.0,10,40,45,5,15,25,0,0,1
217,1.0,16,55,23,30,-23,-12,0,0,0
218,1.0,21,111,65,5,55,40,0,0,0
219,1.0,20,15,-49,60,-29,18,0,0,1
220,1.0,-35,-35,-35,-50,-25,-75,0,1,0
221,1.0,-20,-75,-57,-15,-32,-23,0,0,0
222,1.0,-15,-32,-13,-4,9,10,0,0,1
223,0.5,40,-13,-25,55,30,48,0,0,1
224,1.0,-70,-78,-30,-60,-25,25,0,0,0
225,1.0,-60,12,0,-13,-35,43,0,0,1
226,1.0,-20,-2,85,32,40,7,0,0,1
227,1.0,35,35,95,14,44,25,0,0,1
228,2.0,-24,51,51,41,44,19,1,0,1
229,1.0,-54,-28,-23,-32,-12,-1,0,0,0
230,0.5,33,-45,21,30,86,30,0,0,1
231,2.0,5,-3,-25,72,25,5,0,0,1
232,1.0,-15,-70,-70,35,-15,0,0,1,0
233,1.0,10,-7,-88,78,-18,75,0,0,1
234,1.0,-3,55,9,75,9,15,1,0,1
235,0.5,80,33,-7,43,-7,30,0,0,1
236,1.0,25,16,-10,2,0,-3,0,0,0
237,2.0,4,-44,-5,-7,-25,-73,0,1,0
238,2.0,0,-30,5,0,-45,40,0,0,1
239,1.0,5,35,20,-40,-70,-60,0,0,0
240,0.0,-11,25,77,-34,33,-7,0,0,0
241,0.5,60,150,128,100,38,25,1,0,1
242,1.0,-22,-13,-25,-25,-21,-14,0,0,0
243,1.0,-10,19,35,24,55,11,0,0,1
244,2.0,-28,0,5,80,35,8,1,0,1
245,1.0,34,-66,-34,38,36,-42,0,0,0
246,2.0,10,10,-55,15,25,60,0,0,1
247,0.5,-25,5,-45,-25,50,30,0,0,1
248,2.0,45,60,23,32,65,45,0,0,1
249,1.0,80,10,-80,60,40,40,1,0,1
250,1.0,-70,-130,-78,-30,-58,-35,0,1,0
251,1.0,55,10,80,30,100,5,0,0,1
252,0.5,10,23,18,-2,18,-21,0,0,0
253,1.0,14,0,-20,-5,-30,36,0,0,1
254,0.5,-47,-36,-74,-34,-24,4,0,0,1
255,1.0,4,18,19,5,70,19,0,0,1
256,0.5,15,25,50,-5,65,0,0,0,0
257,1.0,35,60,40,-5,40,30,0,0,1
258,1.0,-154,17,-8,32,2,11,0,0,1
259,0.5,-34,-50,-60,-134,-60,-105,0,1,0
260,2.0,-66,-155,-70,-134,-80,-80,0,1,0
261,1.0,56,52,25,89,25,88,0,0,1
262,2.0,40,0,35,60,20,-70,0,0,1
263,2.0,-37,-45,-11,15,-11,-45,0,0,0
264,1.0,-33,-33,-18,-20,-38,15,0,0,1
265,0.5,1,6,33,-51,-21,-69,0,0,0
266,1.0,9,-30,-15,10,15,11,1,0,1
267,0.5,10,-25,42,-85,-5,-67,0,0,0
268,1.0,-5,-20,-20,10,-10,0,0,1,0
269,1.0,40,65,28,0,65,-8,0,0,0
270,0.5,35,15,15,35,45,35,0,0,1
271,1.0,10,5,-27,-55,-22,-46,0,0,0
272,1.0,-30,-45,47,-45,-23,16,0,1,1
273,1.0,-18,71,69,-7,-37,1,0,0,1
274,2.0,-10,-24,-17,-69,-30,-59,0,0,0
275,1.0,44,22,69,3,43,14,1,0,1
276,1.0,30,-15,-10,-40,-35,-90,0,1,0
277,1.0,-52,-25,-25,25,15,10,0,0,1
278,2.0,55,119,115,75,90,51,0,0,1
279,0.5,37,45,15,-2,10,0,0,0,0
280,0.5,-15,10,-10,-55,-10,-20,0,1,0
281,1.0,12,5,14,-5,-16,-45,0,0,0
282,1.0,27,40,50,70,98,9,0,0,1
283,1.0,18,37,18,-28,13,-32,0,0,0
284,1.0,-20,0,-35,25,15,10,0,0,1
285,1.0,61,100,15,119,55,110,1,0,1
286,1.0,-30,-10,50,-10,-90,0,0,0,0
287,0.5,15,-25,40,-20,-5,-30,0,0,0
288,1.0,10,85,180,-70,35,0,0,0,0
289,0.0,20,15,0,-115,-40,-40,0,0,0
290,2.0,2,-33,5,-13,50,-18,0,0,0
291,2.0,-35,-47,-15,60,35,-2,0,0,0
292,1.0,-45,25,20,-40,-50,-40,0,0,0
293,1.0,-70,-90,-20,12,-5,-28,0,0,0
294,1.0,40,23,-105,0,-105,-35,0,1,0
295,0.5,23,30,12,-43,29,-41,0,0,0
296,1.0,26,15,5,62,12,41,0,0,1
297,1.0,6,-10,-35,-43,-38,-44,0,0,0
298,0.5,65,11,13,41,21,-3,0,0,0
299,1.0,35,32,40,60,62,18,0,0,1
300,1.0,-12,-15,35,-28,-7,5,0,0,1
301,2.0,56,27,-70,99,45,38,0,0,1
302,1.0,15,-10,47,-87,-10,-91,0,0,0
303,1.0,0,14,35,-11,25,-34,0,0,0
304,1.0,-80,10,10,10,-5,120,1,0,1
305,2.0,15,7,9,34,20,44,0,0,1
306,1.0,30,35,-37,-45,-37,9,0,0,1
307,1.0,15,70,60,25,15,25,0,0,1
308,1.0,27,84,32,9,39,110,0,0,1
309,1.0,-28,-125,1,10,-39,-120,0,0,0
310,1.0,5,-25,5,15,40,10,0,0,1
311,2.0,-63,23,13,-19,-7,42,0,0,1
312,1.0,36,7,32,29,67,10,0,0,1
313,1.0,15,30,25,10,20,-90,0,0,1
314,1.0,-42,-25,-25,1,-41,-13,0,0,0
315,0.5,30,165,55,87,45,106,1,0,1
316,1.0,-6,-15,-5,-51,-32,-21,0,0,0
317,1.0,11,34,11,39,6,-7,0,0,0
318,1.0,40,42,30,25,30,12,0,0,1
319,0.5,0,4,-10,-63,-10,-57,0,0,0
320,1.0,-32,-69,-60,-99,-80,-60,0,1,0
321,1.0,0,0,27,-25,27,-14,0,0,0
322,1.0,15,-5,25,60,30,-15,1,0,0
323,0.0,4,30,-5,28,-2,-11,0,0,0
324,1.0,10,11,-5,-54,-25,-2,0,0,0
325,0.5,6,54,-28,14,-36,45,0,0,1
326,1.0,35,95,80,60,20,70,0,0,1
327,1.0,39,70,93,5,28,-21,0,0,0
328,1.0,35,35,10,105,30,85,0,0,1
329,0.5,5,30,14,-26,-2,13,0,0,1
330,1.0,48,-21,9,1,29,-43,0,0,0
331,1.0,-15,30,51,50,46,-20,0,0,0
332,1.0,-45,-43,-35,-23,-45,-12,0,0,0
333,1.0,-7,31,40,68,27,79,1,0,1
334,1.0,32,65,12,-42,-94,5,0,0,1
335,0.5,5,5,12,-17,-21,-4,0,0,0
336,1.0,-15,-45,0,-40,-35,60,0,1,0
337,1.0,-40,53,43,53,38,81,0,0,1
338,1.0,-25,-15,-11,-12,-20,14,0,0,1
339,1.0,0,-15,5,34,9,-5,0,0,0
340,1.0,-14,15,-10,45,10,34,0,0,1
341,0.5,10,-68,-5,-38,5,-40,0,0,0
342,0.5,22,33,30,-6,-15,-44,0,0,0
343,1.0,66,71,35,71,38,39,1,0,1
344,1.0,4,-17,-3,47,15,-18,0,0,0
345,0.5,-19,-97,-82,-63,-28,-86,0,0,0
346,1.0,-26,-95,-18,-94,-18,-55,0,1,0
347,1.0,-15,3,-105,51,33,42,0,0,1
348,1.0,55,30,55,35,35,-25,0,0,0
349,0.5,22,-2,25,31,35,25,0,0,1
350,1.0,-10,34,45,29,10,-63,0,0,0
351,0.5,30,-55,-40,0,0,-5,0,0,0
352,1.0,-15,25,35,-45,-5,-60,0,0,0
353,1.0,-12,-23,-25,-52,-25,-32,0,0,0
354,1.0,41,-34,0,52,30,-7,0,0,0
355,1.0,-26,-57,-32,-60,-50,-70,0,0,0
356,1.0,-54,-20,-37,-88,-88,-40,0,0,0
357,1.0,5,-4,5,-4,-20,-1,0,0,0
358,1.0,-48,-25,68,-22,49,27,1,0,1
359,2.0,17,-18,-61,7,64,76,1,0,1
360,1.0,-5,29,5,39,-5,2,0,0,1
361,0.5,35,5,68,10,-35,-43,0,0,0
362,0.5,35,10,0,-50,35,50,0,0,1
363,0.5,43,56,-25,56,10,20,0,0,1
364,1.0,9,3,20,-25,0,-2,0,0,0
365,0.5,10,-26,30,14,40,-54,0,0,0
366,1.0,-30,-50,0,10,20,0,0,0,0
367,1.0,14,44,14,34,64,-5,1,0,0
368,0.5,5,-50,0,-15,-25,-25,0,0,0
369,1.0,-70,-76,-80,-36,-36,10,0,0,1
370,0.5,-25,-20,-100,0,-30,-40,0,0,0
371,1.0,-24,10,-27,2,-18,22,0,0,1
372,1.0,-15,-10,-116,-30,-106,-35,0,1,0
373,0.5,-19,-37,2,-50,-18,-63,0,0,0
374,1.0,0,-71,-49,21,-51,-40,0,0,0
375,1.0,-32,-22,-42,-35,-40,-34,0,0,0
376,2.0,62,139,120,100,25,25,1,0,1
377,2.0,-70,-120,-80,-65,-80,-40,0,0,0
378,1.0,-45,-52,-5,-97,-68,-2,0,0,0
379,1.0,20,-10,0,40,35,0,1,0,0
380,2.0,-60,-20,0,-70,-40,-35,0,1,0
381,1.0,-1,13,-11,36,54,7,0,0,1
382,1.0,-10,5,-10,4,10,-13,0,0,0
383,1.0,-15,-10,-15,50,25,5,0,0,1
384,0.5,-75,-55,-26,-126,-52,-52,0,1,0
385,1.0,-50,5,-5,50,40,20,0,0,1
386,1.0,3,20,18,-30,18,2,0,0,1
387,0.5,10,-3,-22,45,45,5,0,0,1
388,1.0,25,32,15,70,5,14,0,0,1
389,1.0,-40,-75,-90,-10,-20,35,0,1,1
390,1.0,15,20,30,-20,-20,-65,0,0,0
391,1.0,-26,-22,-36,-49,4,-48,0,0,0
392,1.0,10,15,15,-10,10,-10,0,0,0
393,1.0,-16,53,-20,-4,-20,7,1,0,1
394,1.0,-5,-5,-25,-95,-30,85,0,0,1
395,1.0,36,-20,10,27,15,-66,0,0,0
396,1.0,24,50,106,5,-5,-20,0,0,0
397,1.0,34,28,33,-53,27,21,0,0,1
398,2.0,9,17,13,-44,-1,-71,0,0,1
399,1.0,12,-15,-62,46,2,-43,0,0,0
400,1.0,-5,35,25,-30,-10,-30,0,0,0
401,1.0,24,9,35,14,45,-8,0,0,0
402,2.0,1,35,0,-40,-10,35,0,0,1
403,1.0,15,65,92,18,-5,44,0,0,1
404,0.5,-40,-45,-55,40,0,25,0,0,0
405,0.5,-11,-13,12,49,49,29,0,0,1
406,0.5,0,-79,-53,-10,-3,53,0,0,0
407,0.5,11,2,25,49,-30,8,0,0,1
408,1.0,37,75,62,-57,-99,-35,0,0,1
409,1.0,-46,-64,-12,11,16,-30,0,0,0
410,0.5,-30,-65,-50,-61,-27,-62,0,0,0
411,1.0,-45,-100,-100,-60,-50,-15,0,1,0
412,2.0,40,-40,10,-100,-50,-60,0,1,0
413,1.0,-39,60,15,-10,-20,10,0,0,1
414,1.0,-65,-87,-142,-14,-4,42,0,0,0
415,2.0,45,-7,-6,-10,7,-42,0,0,0
416,1.0,6,-16,0,36,25,94,0,0,1
417,1.0,-3,65,-30,-57,-48,-27,0,0,0
418,2.0,-7,-18,30,9,33,-49,0,0,1
419,1.0,60,90,30,0,30,35,0,0,1
420,1.0,66,85,50,75,119,34,1,0,1
421,1.0,-11,-31,-46,29,44,14,0,0,1
422,1.0,0,1,-21,19,31,20,0,0,1
423,0.5,-25,-12,-27,13,-27,41,0,0,1
424,1.0,-50,-25,-30,-65,-30,-52,0,1,0
425,0.5,-46,29,-47,-50,-35,18,0,0,1
426,0.5,-35,-21,9,-35,5,-100,0,0,0
427,1.0,45,65,10,-45,-20,-70,0,0,1
428,1.0,-15,-7,4,-60,-5,-74,0,0,0
429,1.0,5,30,-5,30,-20,10,0,0,1
430,1.0,-24,-35,-50,-70,0,-26,0,1,0
431,1.0,35,60,70,35,30,65,0,0,1
432,1.0,-35,-90,-29,100,-35,49,0,0,1
433,1.0,30,-8,2,-5,0,-24,0,0,0
434,0.5,25,10,21,85,51,35,0,0,1
435,1.0,20,30,-45,-5,-15,0,0,0,0
436,0.5,-52,5,-45,-50,-45,5,0,0,1
437,0.0,-4,-16,-30,-4,-15,34,0,0,0
438,2.0,-50,-32,-134,11,4,37,0,0,1
439,1.0,11,-3,17,-6,67,15,0,0,1
440,0.5,-15,-35,15,-90,-45,-75,0,0,0
441,0.5,-25,0,70,10,15,-63,0,0,0
442,2.0,33,32,22,9,4,81,0,0,1
443,1.0,-15,-35,-65,60,30,10,0,0,1
444,1.0,-20,-68,20,-18,-50,-46,0,0,0
445,1.0,10,-40,20,-25,20,10,0,0,1
446,1.0,3,32,-1,-24,8,11,0,0,1
447,0.5,15,5,-45,60,30,5,0,0,1
448,1.0,26,9,80,31,95,4,1,0,1
449,1.0,15,-10,10,50,30,5,1,0,1
450,2.0,-25,-15,-5,10,-35,60,0,0,1
451,0.5,29,76,25,60,15,55,0,0,1
452,1.0,183,-52,-50,-42,50,-64,0,0,0
453,2.0,25,10,40,40,40,35,1,0,1
454,0.5,-25,25,5,35,5,26,0,0,1
455,1.0,-39,-45,-50,-80,-60,-36,0,1,0
456,1.0,9,19,6,19,-4,26,0,0,1
457,2.0,-39,-71,-18,3,-17,-11,0,0,0
458,1.0,65,65,60,65,45,50,1,0,1
459,0.5,-25,0,0,40,70,10,0,0,1
460,1.0,-18,13,-56,-7,-11,17,0,0,1
461,0.5,5,-60,30,20,30,10,1,0,1
462,0.5,-15,-40,-10,-25,-15,-55,0,0,0
463,1.0,-70,-90,-35,-15,55,0,0,0,0
464,2.0,-5,-5,2,-5,-13,20,0,0,1
465,1.0,25,-11,-11,-88,-54,-16,0,0,0
466,1.0,46,40,74,15,7,78,1,0,1
467,1.0,14,13,-55,-27,-55,-5,0,0,0
468,2.0,13,56,-36,11,-51,12,0,0,1
469,1.0,-76,-52,33,-12,0,-68,0,0,0
470,1.0,10,13,10,28,35,20,0,0,1
471,2.0,-75,10,-35,-70,-80,5,0,0,1
472,1.0,-60,-55,-60,-70,-80,-25,0,1,0
473,1.0,60,-5,5,15,55,50,0,0,1
474,1.0,-11,3,18,-15,-2,-2,0,0,0
475,1.0,0,3,-8,-9,-9,3,0,0,1
476,1.0,26,33,27,15,20,-25,0,0,0
477,2.0,15,25,-15,45,-15,15,1,0,1
478,2.0,-29,-28,-3,-35,-5,-15,0,0,0
479,0.5,-15,-15,-30,-37,-63,-14,0,0,0
480,0.5,39,37,39,46,36,15,0,0,1
481,0.5,10,-36,-15,0,-5,-49,0,0,0
482,1.0,36,22,65,45,17,77,1,0,1
483,1.0,-51,-11,-42,-36,-52,-18,0,0,0
484,1.0,32,26,27,45,25,20,1,0,1
485,1.0,34,-21,-15,17,28,11,0,0,1
486,1.0,-45,-54,10,-25,-40,-52,0,0,0
487,1.0,10,110,25,55,15,0,0,0,0
488,1.0,2,20,17,103,78,48,0,0,1
489,1.0,10,95,50,25,70,68,0,0,1
490,1.0,-18,-15,-20,-5,15,-11,0,0,0
491,0.5,0,30,116,41,-3,27,0,0,1
492,1.0,-45,-35,-55,-65,-55,30,0,0,1
493,1.0,15,35,15,20,10,10,0,0,1
494,1.0,0,5,10,-30,25,20,0,0,1
495,1.0,45,85,3,15,3,9,0,0,1
496,1.0,20,30,20,0,0,45,0,0,1
497,0.5,-32,-60,-31,-60,-50,-42,0,0,0
498,1.0,40,25,-65,65,-60,5,0,0,1
499,0.5,10,-20,20,20,25,15,1,0,1
500,0.5,0,-25,-61,0,2,14,0,0,0
501,1.0,-16,20,100,-65,-31,-60,0,0,0
502,0.5,65,50,19,45,105,31,0,0,1
503,1.0,50,96,-5,66,25,63,1,0,1
504,1.0,27,95,10,-25,0,-27,0,0,0
505,1.0,-25,-78,-23,-78,-23,-81,0,0,0
506,1.0,190,-55,-55,25,85,-35,0,0,0
507,0.5,14,56,5,50,15,55,1,0,1
508,1.0,-25,-45,-30,-5,-30,15,0,0,1
509,1.0,21,140,75,5,65,44,0,0,1
510,0.5,-78,-90,-25,-10,-60,-42,0,0,0
511,1.0,35,-10,5,10,10,-25,0,0,0
512,0.5,-40,-45,-45,-25,-40,-20,0,0,0
513,2.0,20,45,45,-45,-55,-70,0,0,1
514,0.5,25,20,136,11,17,-13,0,0,0
